PostId,PostType,Title,Characters,Words,H1Count,H2Count,H3Count,LinkCount,ImageCount,ShortcodeCount,LongDashCount,Disposition,TargetOwnerId,Rationale
"228","post","10 טיפים לטיול בתאילנד עם ילדים קטנים ותינוקות 2023","4658","782","0","0","0","0","0","0","1","extract_merge","candidate-thailand-family-travel","Update and merge child-travel tips into the family-travel owner."
"258","post","מלונות בקוסמוי תאילנד סקירה מתעדכנת","89810","12113","0","0","1","109","0","7","2","split_rewrite","koh-samui","Large Samui hotel corpus; extract hotel entities and unique category sections, then rebuild clean pages."
"274","post","מלונות יוקרה 5 כוכבים חדשים מומלצים הטובים ביותר בקוסמוי עם תאריך פתיחה","7902","1408","0","0","0","0","0","0","53","extract_merge","koh-samui-luxury-hotels","Overlaps the live luxury and historical opening owners; keep only current unique hotel facts."
"344","post","דוסיט אינטרנשיונל  Dusit International","6574","1045","0","0","0","0","0","0","0","extract_entity","thailand-hotels","Create a hotel-brand entity only after current official-source review."
"371","post","(ללא כותרת)","1719","29","0","0","0","0","0","0","0","discard_after_extract","thailand-tourism","Unfinished questionnaire shell; keep requirements for a later trip-planning tool."
"376","post","טיסות זולות לתאילנד | כרטיסי טיסה מוזלים","49049","6726","0","0","0","6","0","8","24","extract_merge","thailand-flights","Large overlapping flight draft; feed unique sections into the canonical flight cluster."
"424","post","בוקינג – על booking הזמנה","9375","1393","0","0","0","0","0","0","0","keep_rewrite","thailand-hotels","Potential booking-platform comparison spoke; rewrite with current commercial terms."
"427","post","CheapTickets כרטיסים זולים – החברה","1682","265","0","0","0","0","0","0","0","discard_after_extract","thailand-flights","Thin merchant profile; retain only useful comparison facts if current."
"441","post","סוכנות נסיעות תאילנד | סוכן נסיעות תאילנד","68704","10198","0","0","0","0","0","2","1","service_rewrite","services-in-thailand","Replace generic agency copy with a direct service-selection and intake page."
"447","post","(ללא כותרת)","3672","366","1","0","0","0","0","2","0","discard","home","Unsubstantiated testimonial and presentation copy must never be published."
"477","post","קניית מלון בתאילנד כזר | מדריך לישראלי","7757","1290","0","0","0","1","0","0","0","legal_rewrite","thailand-real-estate","Distinct hotel-acquisition intent; rebuild with current ownership, licensing, tax, and due-diligence sources."
"498","post","מדריך פתיחת עסק קנאביס בתאילנד לישראלים","9461","1272","0","0","0","0","0","0","0","legal_rewrite","thailand-cannabis-law","High-change regulated topic; extract questions and rewrite from current Thai official sources."
"517","post","חגים בתאילנד טיסות זולות חבילות נופש משפחה מלונות","13991","2349","0","0","0","0","0","0","1","split_rewrite","thailand-tourism","Separates public-holiday planning from flights, packages, family travel, and hotels."
"523","post","Continental Phuket Resort מלון חדש תאילנד","1475","149","0","0","0","4","0","0","0","extract_entity","thailand-hotels","Create an exact Phuket hotel entity only after identity and current status checks."
"525","post","דירה לרכישה בפרויקט מגורים משותפים יוקרתי בקוסמוי","3845","610","0","0","0","0","0","0","0","extract_entity","thailand-property-projects","Preserve project clues but block raw marketing claims until developer, location, price, and inventory are identified."
"527","post","פרויקט מגורים דירה לרכישה פוקט Kata Beach Phuket Project Condominium","1976","198","0","0","0","1","0","0","0","extract_entity","thailand-property-projects","Preserve project clues but block publication until exact developer and current commercial evidence exist."
"529","post","רכישת דירה בפרויקט חדש פטאיה תאילנד","2417","301","0","0","0","0","0","0","0","extract_entity","thailand-property-projects","Preserve project clues but block publication until exact project, price date, and inventory exist."
"534","post","אטרקציות מיוחדות: דברים מהנים ויוצאי דופן לעשות בקוסמוי, תאילנד","67745","7501","0","0","54","55","0","21","10","keep_rewrite","koh-samui","Strong Samui attraction source; normalize entities, prune duplication, and connect place spokes."
"546","post","אטרקציות פוקט: מה לעשות באי פוקט?","38991","5720","0","0","6","21","0","0","2","keep_rewrite","phuket","Strong Phuket attraction source; normalize entities and build distinct attraction spokes."
"575","post","מערכת הבריאות בתאילנד ובתי חולים| מה צריך לדעת?","32391","4840","0","0","0","0","0","0","0","legal_rewrite","health-in-thailand","High-stakes health content; rewrite from current official and hospital sources before indexing."
"580","post","מסלול קל לתכנון צ’אנג מאי + ​​צ’אנג ראי (מדריך טיולים לצפון תאילנד)","13343","2315","0","0","3","0","0","0","0","keep_rewrite","thailand-tourism","Distinct northern itinerary; update transport, duration, and place links."
"583","post","עיסוי תאילנדי אמיתי | רפואה תאילנדית מסורתית | מסאז’ תאילנדי","41328","6218","0","0","0","0","0","0","0","split_rewrite","health-in-thailand","Separate cultural massage experience from medical claims and source both appropriately."
"619","post","טיסה לתאילנד – המדריך המקיף והעדכני לטיסה זולה לתאילנד","63501","9280","0","0","0","0","0","0","59","extract_merge","thailand-flights","Overlapping flight pillar with broken embedded FAQ data; extract unique sections only."
"631","post","השוואת מחירי טיסות: אתרים מובילים לטיסות לתאילנד","7357","1082","0","0","0","0","0","0","1","keep_rewrite","thailand-flights","Distinct comparison-tool intent; refresh product features and commercial disclosures."
"634","post","השוואת אתרי הזמנת מלונות מובילים בתאילנד | חיפוש מלונות בתאילנד","8987","1311","0","0","0","0","0","0","2","keep_rewrite","thailand-hotels","Distinct hotel-booking comparison intent; refresh terms and link to hotel geography."
"639","post","טיסות זולות לתאילנד ברגע האחרון","35809","5556","0","0","0","0","0","0","55","keep_rewrite","thailand-flights","Distinct last-minute flight intent; rewrite with current constraints and price-date handling."
"645","post","איך להשתמש ב- Google Flights כדי למצוא טיסות זולות לתאילנד","9316","1371","0","0","0","1","0","0","7","keep_rewrite","thailand-flights","Distinct Google Flights how-to spoke; refresh current interface and examples."
"650","post","אל על טיסות זולות לתאילנד – טיסות ישירות לתאילנד במחיר מוזל","27045","4357","0","0","0","1","0","0","90","extract_entity","thailand-flights","Create an El Al route and airline entity page from current schedule and fare evidence."
"658","post","ינואר בתאילנד – טיסות זולות, אוכל כשר וחבילות מפנקות","22848","3695","0","0","0","0","0","0","55","split_rewrite","best-time-for-thailand","January planning belongs to the season owner; flights, kosher food, and packages become linked tasks."
"663","post","דרכים שלא חשבתם עליהם להגיע לתאילנד","19807","3245","0","0","0","0","0","0","46","extract_merge","thailand-flights","Overlaps cheap-flight advice; merge unique routing strategies into the canonical flight owner."
"671","post","מחירון מלונות מומלצים בקו סמוי לשנת 2025","49539","5741","1","2","20","42","0","0","58","split_rewrite","koh-samui","Extract dated hotel price observations into Samui hotel entities and rebuild a dynamic budget page."
"676","post","נופש בתאילנד 2025 – המחירון המלא והמקיף ביותר למשפחות","24857","3541","0","0","4","4","0","0","0","extract_merge","thailand-family-holiday-costs","Merge useful budget components into the live family-cost owner; remove obsolete 2025 shell."
"680","post","המדריך למטייל הסולו בתאילנד – טיפים, מקומות מומלצים וחוויות בלתי נשכחות","3470","556","0","0","0","0","0","0","24","keep_rewrite","thailand-tourism","Distinct solo-travel intent; expand safety, place, transport, and social choices."
"686","post","מעודכן 2025: טיסות לתאילנד ומלונות עלויות אל על וחברות אחרות – השוואת מחירים","91047","13715","0","0","0","0","1","0","358","split_rewrite","thailand-flights","Huge mixed flights and hotels draft; separate unique evidence among flight, hotel, and budget owners."
"698","post","טיול משפחתי של שבועיים לתאילנד (עם ילדים) – מסלול מותאם לישראלים","52481","7502","0","0","0","0","1","2","143","keep_rewrite","candidate-thailand-family-travel","Distinct two-week family itinerary; update places, logistics, budget, and age-based choices."
"709","post","בנגקוק איירווייז | טיסות מבנקוק | Bangkok Airways","79709","10975","0","0","0","1","0","0","271","extract_entity","thailand-flights","Build one current Bangkok Airways entity page from official schedules, routes, baggage, and fare terms."
"713","post","(ללא כותרת)","67759","9950","0","0","0","0","0","0","262","extract_merge","thailand-flights","Untitled duplicate of Bangkok Airways material; merge unique facts into the single airline entity."
"721","post","(ללא כותרת)","49967","4446","1","7","0","0","0","11","86","discard","home","Contains drafting instructions and internal production language; never publish."
"722","post","רגולציה ותיירות בתאילנד – מדריך לתיירים ישראלים","42513","5971","0","8","0","21","1","0","1","split_rewrite","thailand-law-and-tax","Split tourism rules into exact regulated owners and rewrite only from current official sources."
"735","post","(ללא כותרת)","20393","2436","0","9","25","1","0","0","40","extract_merge","candidate-thailand-family-travel","Merge family-hotel records with the family-travel and hotel entity owners."
"742","post","מלונות חדשים מומלצים בתאילנד – תמורה גבוהה למחיר","109631","15486","0","0","0","59","0","3","0","split_rewrite","thailand-hotels","Large hotel corpus; extract exact hotel entities, dates, locations, and current offer facts."
"753","post","(ללא כותרת)","15821","1230","0","1","0","0","0","3","14","rebuild_tool","thailand-trip-budget-calculator","Extract calculation requirements and rebuild as a scoped accessible tool without embedded page CSS."
"762","post","איפה אוכלים בקוסמוי – סקירת המסעדות של צוות תאילנד","72046","11176","0","0","0","0","1","1","0","split_rewrite","koh-samui","Extract restaurant entities; remove unsubstantiated team-review language and connect kosher/community relations."
"773","post","(ללא כותרת)","530","6","0","0","0","1","1","0","0","discard","thai-lawyer-hebrew-service","Six-word unrelated lead widget with no useful Thailand content."
"774","post","יועץ טיולים תאילנד | לווי צמוד לנופש מושלם","44601","7296","0","0","0","0","1","1","0","service_rewrite","services-in-thailand","Replace generic superlatives with a direct trip-planning service, scope, inputs, and contact route."
"779","post","(ללא כותרת)","96740","13573","1","11","17","97","0","0","346","extract_merge","koh-samui","Untitled full Samui guide overlaps the category owner and draft 781; merge unique place sections."
"781","post","שנת  2025 קוסמוי תאילנד – מדריך לחופשה מושלמת סאמוי samui","79647","12597","0","0","0","0","2","2","0","extract_merge","koh-samui","Duplicate Samui guide; merge unique facts into the canonical Samui owner."
"790","post","(ללא כותרת)","1288","97","0","0","0","1","1","0","0","discard_after_extract","home","Obsolete floating-button code with no standalone content value."
"792","post","(ללא כותרת)","26027","4242","0","0","0","0","0","0","63","discard","home","Israeli building-rights article is outside the Thailand site scope."
"794","post","(ללא כותרת)","3679","366","0","0","0","0","0","0","5","discard","home","Global legal-fee comparison is outside the Thailand site scope."
"797","post","סקירת חברות התעופה המובילות לתאילנד 2025: מחירים, שירותים ונתיבי טיסה מומלצים","109918","14050","0","0","0","2","0","0","0","split_rewrite","thailand-flights","Extract current airline entities and a comparison matrix; do not publish the 2025 bulk draft."
